ObesityRate,ratio 1-ethnic,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,ratio 3-work time,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
27.4,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,185,8589
25.3,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,165,5612
12.3,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,85,2736
24.6,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,200,7668
19.1,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,120,3491
26.7,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,220,7688
24.3,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,155,5959
19.5,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,165,6010
22.9,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,305,9300
29.5,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,135,5502
20,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,180,6522
23,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,125,4266
26,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,155,8534
17.8,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,175,5934
21.5,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,225,6865
24.5,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,245,9060
24.4,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,160,8051
27,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,165,6953
26.9,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,140,7673
24.6,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,175,7608
20.5,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,115,5098
23.5,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,130,7723
20,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,120,4241
21.5,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,155,5303
23.6,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,185,6872
24.8,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,135,7119
23.4,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,185,6443
23,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,80,4085
14.2,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,100,3175
23.6,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,175,8560
22.4,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,175,7514
19.7,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,110,3649
27.7,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,185,8865
24.1,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,165,6133
11.2,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,85,2894
25.9,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,200,8575
19.8,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,120,3597
25.3,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,220,8396
23.7,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,155,6352
19.3,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,165,6572
24,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,305,9774
28.4,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,135,5950
20.4,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,180,7238
22.1,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,125,5265
25.1,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,155,8710
16,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,175,6483
22.7,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,225,6597
24.2,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,245,9579
23.4,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,160,8359
u,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,165,7857
28.2,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,140,7966
27.6,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,175,7743
19.9,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,115,5295
20.9,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,130,7451
21.7,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,120,4521
23.8,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,155,5387
21.3,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,185,7520
24.1,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,135,7567
24.9,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,185,6315
22.1,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,80,4206
18.6,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,100,3307
23.7,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,175,9028
23.8,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,175,8457
20.8,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,110,3931
28.1,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,185,8996
25.2,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,165,6265
12,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,85,2966
27.3,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,200,8838
17.7,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,120,4195
25.7,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,220,8394
24,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,155,6111
u,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,165,6646
25,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,305,10736
